City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
2,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Castillo Galapagos
6,Rikitea,PF,78.96,few clouds,-23.1203,-134.9692,Pension Maro'i
13,Dingle,PH,75.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
20,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Port-Gentil,GA,80.6,moderate rain,-0.7193,8.7815,Fengshui Residence
25,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
27,Hithadhoo,MV,80.8,broken clouds,-0.6,73.0833,Scoop Guest House
29,Pochutla,MX,82.4,light rain,15.7432,-96.4661,Hotel Posada San Jose
30,Atuona,PF,78.57,scattered clouds,-9.8,-139.0333,Villa Enata
36,Soyo,AO,79.16,broken clouds,-6.1349,12.3689,Hotel Mpampa
37,Alta Floresta,BR,78.8,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
39,Port Blair,IN,79.83,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
44,Itarema,BR,79.88,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
47,Hilo,US,82.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
50,Faanui,PF,81.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Tautira,PF,87.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
56,Butaritari,KI,80.58,broken clouds,3.0707,172.7902,Isles Sunset Lodge
57,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
76,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
81,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
82,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
83,Kampar,MY,77.0,few clouds,4.3,101.15,Grand Kampar Hotel
86,Kralendijk,BQ,78.8,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
88,Maragogi,BR,77.4,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
89,Sao Joao Da Barra,BR,76.28,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
104,Flinders,AU,75.99,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
105,Geraldton,AU,82.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
106,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
111,Gizo,SB,84.47,broken clouds,-8.103,156.8419,Imagination Island
116,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
118,Poum,NC,83.14,moderate rain,-20.2333,164.0167,Gîte kajeon
120,Boquira,BR,77.25,overcast clouds,-12.8231,-42.7306,Cristal Palace Hotel
121,Kirakira,SB,85.78,light rain,-10.4544,161.9205,SanBiz Lodge
127,Vila Velha,BR,79.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
143,Manicore,BR,80.74,scattered clouds,-5.8092,-61.3003,Hotel Durval
144,Mareeba,AU,77.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
148,Warri,NG,78.08,clear sky,5.5167,5.75,BON Hotel Delta
151,Nioro,GM,76.1,overcast clouds,13.35,-15.75,
162,Kapaa,US,80.6,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
165,Moranbah,AU,80.65,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
168,Tahoua,NE,77.0,clear sky,14.8888,5.2692,Bungalows Guesthouse
172,Kloulklubed,PW,75.2,light rain,7.0419,134.2556,Storyboard Beach Resort
173,Les Cayes,HT,75.34,overcast clouds,18.2,-73.75,Villa Orphee
175,Thinadhoo,MV,81.43,scattered clouds,0.5333,72.9333,
176,Aitape,PG,83.26,light rain,-3.1374,142.3475,
177,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
180,Norsup,VU,85.37,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
186,Demerval Lobao,BR,77.0,broken clouds,-5.3583,-42.6764,Pousada Da Paz
191,Le Vauclin,MQ,77.0,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
193,Matamoros,MX,75.2,clear sky,25.5333,-103.25,Quinta Belem
195,Alofi,NU,87.8,broken clouds,-19.0595,-169.9187,Taloa Heights
197,Bambanglipuro,ID,75.85,overcast clouds,-7.95,110.2833,Puri Brata
200,Santa Fe,AR,75.99,clear sky,-31.6333,-60.7,Conquistador Hotel
204,Manta,EC,82.4,scattered clouds,-0.95,-80.7333,Balandra Hotel
217,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
221,Manakara,MG,78.98,overcast clouds,-22.1333,48.0167,La Residence Manakara
224,Terra Santa,BR,81.05,broken clouds,-2.1042,-56.4869,Hotel Sarah
227,Ambon,ID,77.0,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
239,Venado Tuerto,AR,78.01,clear sky,-33.7456,-61.9688,La Bianca.
242,Martinez,US,75.2,clear sky,38.0194,-122.1341,Best Western John Muir Inn
243,Kununurra,AU,84.2,scattered clouds,-15.7667,128.7333,Hotel Kununurra
244,Tinalmud,PH,77.65,light rain,13.5941,122.87799999999999,
246,Humaita,BR,78.1,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
255,Nicoya,CR,87.8,few clouds,10.1483,-85.45200000000001,Guayacan Real
259,Lompoc,US,80.01,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
260,Caravelas,BR,76.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
261,Cabo San Lucas,MX,78.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
263,Novo Aripuana,BR,80.73,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
267,Anloga,GH,82.4,scattered clouds,5.7947,0.8973,Pin Drop Hotel
268,Ugoofaaru,MV,81.59,scattered clouds,5.6667,73.0,Ungoofaaru Inn
274,Liku,ID,75.87,overcast clouds,-0.7275,119.8922,Agoes Liverpool
275,Tambacounda,SN,78.8,clear sky,13.7539,-13.7586,
276,Manzanillo,CU,77.27,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
277,Bambous Virieux,MU,80.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
283,Lorengau,PG,84.97,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
284,Inhambane,MZ,78.49,light rain,-23.865,35.3833,Oceano
285,Manaure,CO,81.55,clear sky,11.7751,-72.4445,Hotel Palaaima
286,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
290,San Carlos,VE,78.87,broken clouds,9.6612,-68.5827,Hotel Paternopoli
292,San Martin,AR,86.0,clear sky,-33.080999999999996,-68.4681,Finca Vivencias
293,Honiara,SB,86.67,broken clouds,-9.4333,159.95,Heritage Park Hotel
298,Ambanja,MG,75.63,light rain,-13.6833,48.45,Hotel Salama and Fast Food
307,Nanakuli,US,78.01,overcast clouds,21.3906,-158.1547,Camp Pālehua
315,Kavieng,PG,84.63,few clouds,-2.5744,150.7967,Nusa Island Retreat
317,El Tigre,VE,82.04,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
322,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
324,Puerto Suarez,BO,76.03,very heavy rain,-18.95,-57.8,Hotel casa real
325,Isabela,PH,77.0,moderate rain,6.7085,121.9711,Isawad Resort
329,Pacific Grove,US,80.6,clear sky,36.6177,-121.9166,Lovers Point Inn
330,General Pico,AR,81.36,clear sky,-35.6566,-63.7568,Hotel Malargue
331,Come,BJ,82.4,few clouds,6.4076,1.882,Hôtel la concorde chez Mehinnou
340,Banda Aceh,ID,78.15,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
346,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
348,Bull Savanna,JM,75.0,overcast clouds,17.8868,-77.5902,Big Red's
