City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,78,0,17.27,clear sky,2021-01-17 23:00:09
1,Mayya,RU,61.7333,130.2811,-58.0,51,90,4.63,fog,2021-01-17 23:03:19
2,Puerto Ayora,EC,-0.7393,-90.3518,80.6,69,75,17.27,broken clouds,2021-01-17 23:03:19
3,Srednekolymsk,RU,67.45,153.6833,-41.1,81,40,3.0,scattered clouds,2021-01-17 23:03:19
4,Lagoa,PT,39.05,-27.9833,62.04,82,80,26.84,light rain,2021-01-17 23:02:34
5,Ushuaia,AR,-54.8,-68.3,55.4,71,75,3.44,broken clouds,2021-01-17 22:59:04
6,Rikitea,PF,-23.1203,-134.9692,78.96,74,15,14.05,few clouds,2021-01-17 23:03:20
7,Yellowknife,CA,62.456,-114.3525,1.4,85,90,4.61,mist,2021-01-17 23:01:19
8,Margate,GB,51.3813,1.3862,39.99,79,96,1.99,overcast clouds,2021-01-17 23:00:39
9,Naze,JP,28.3667,129.4833,50.0,81,40,10.36,scattered clouds,2021-01-17 23:03:20
10,Cape Town,ZA,-33.9258,18.4232,69.8,64,0,16.11,clear sky,2021-01-17 23:03:20
11,Leningradskiy,RU,69.3833,178.4167,-25.91,83,32,5.99,scattered clouds,2021-01-17 23:02:05
12,Walvis Bay,NA,-22.9575,14.5053,68.0,82,100,2.3,overcast clouds,2021-01-17 23:03:21
13,Dingle,PH,10.9995,122.6711,75.36,92,100,7.92,overcast clouds,2021-01-17 23:03:21
14,East London,ZA,-33.0153,27.9116,69.53,76,83,5.03,broken clouds,2021-01-17 23:03:21
15,Stonewall,CA,50.1344,-97.3268,12.2,85,90,6.91,snow,2021-01-17 23:00:10
16,Punta Arenas,CL,-53.15,-70.9167,62.6,59,0,36.82,clear sky,2021-01-17 23:01:32
17,Castro,BR,-24.7911,-50.0119,65.75,95,100,7.63,light rain,2021-01-17 23:03:22
18,Ballitoville,ZA,-29.539,31.2144,69.8,94,90,5.75,light rain,2021-01-17 23:03:22
19,Chuy,UY,-33.6971,-53.4616,68.32,64,67,9.22,broken clouds,2021-01-17 23:03:22
20,Mahebourg,MU,-20.4081,57.7,78.8,78,75,11.5,broken clouds,2021-01-17 23:01:28
21,Aklavik,CA,68.2191,-135.0107,-4.0,84,89,4.61,overcast clouds,2021-01-17 23:03:23
22,Port-Gentil,GA,-0.7193,8.7815,80.6,89,75,2.3,moderate rain,2021-01-17 23:03:23
23,Bilma,NE,18.6853,12.9164,62.31,27,100,16.78,overcast clouds,2021-01-17 23:03:23
24,Mattru,SL,7.6244,-11.8332,73.76,92,0,2.39,clear sky,2021-01-17 23:03:23
25,Avarua,CK,-21.2078,-159.775,86.0,66,20,9.22,few clouds,2021-01-17 23:03:23
26,Ilulissat,GL,69.2167,-51.1,21.2,79,75,13.8,broken clouds,2021-01-17 23:03:23
27,Hithadhoo,MV,-0.6,73.0833,80.8,70,82,6.93,broken clouds,2021-01-17 23:03:24
28,Togur,RU,58.3631,82.8265,15.67,96,100,13.78,light snow,2021-01-17 23:03:24
29,Pochutla,MX,15.7432,-96.4661,82.4,69,40,8.05,light rain,2021-01-17 23:03:24
30,Atuona,PF,-9.8,-139.0333,78.57,78,47,14.81,scattered clouds,2021-01-17 23:03:24
31,Plouzane,FR,48.3833,-4.6167,44.6,93,90,4.61,overcast clouds,2021-01-17 23:03:24
32,Gidam,IN,18.9833,81.4,56.86,40,0,1.43,clear sky,2021-01-17 23:03:25
33,Mashhad,IR,36.297,59.6062,46.4,46,0,6.91,clear sky,2021-01-17 23:03:25
34,Hovd,MN,48.0056,91.6419,-1.07,82,90,1.43,overcast clouds,2021-01-17 23:03:25
35,Sterling,US,39.0062,-77.4286,44.6,49,90,8.05,overcast clouds,2021-01-17 23:00:17
36,Soyo,AO,-6.1349,12.3689,79.16,79,52,8.37,broken clouds,2021-01-17 23:03:26
37,Alta Floresta,BR,-9.8756,-56.0861,78.8,89,75,1.14,broken clouds,2021-01-17 22:59:54
38,Luderitz,NA,-26.6481,15.1594,64.51,78,13,10.69,few clouds,2021-01-17 23:03:27
39,Port Blair,IN,11.6667,92.75,79.83,77,30,17.52,scattered clouds,2021-01-17 23:01:53
40,Huarmey,PE,-10.0681,-78.1522,72.36,76,51,10.22,broken clouds,2021-01-17 23:03:28
41,Hobart,AU,-42.8794,147.3294,64.0,55,75,19.57,broken clouds,2021-01-17 23:03:28
